20	1	117	191	103	138	98	185	113	140	
34	2	117	177	89	137	112	184	114	139	
48	16	117	163	75	136	126	183	115	138	
62	30	117	149	74	135	140	169	116	137	
63	44	117	149	73	121	139	155	116	136	
64	58	103	135	72	107	138	141	117	136	
65	58	103	121	86	93	137	127	118	135	
66	72	103	122	100	79	136	113	118	134	
80	86	103	122	114	78	135	99	118	133	
94	100	103	122	128	77	134	85	118	132	
108	114	103	122	128	76	133	71	118	131	
108	114	103	123	142	75	132	57	118	131	
122	128	103	123	142	61	132	58	118	130	
136	128	103	123	142	61	131	59	118	130	
136	128	103	123	142	61	131	60	118	130	
136	128	103	123	142	61	131	60	118	130	
136	128	103	123	142	47	131	61	118	130	
136	128	103	123	142	47	131	62	118	130	
136	128	103	123	142	47	131	62	118	130	
